NID,Title,URL,Organization,Product,Issue,"What you should do",Category,"Recall class","Last updated",Archived
82197,"HALYARD* PUREZERO* Ultraviolet* Nitrile Exam Gloves",https://recalls-rappels.canada.ca/en/alert-recall/halyard-purezero-ultraviolet-nitrile-exam-gloves,"Medical devices","HALYARD* PUREZERO* Ultraviolet* Nitrile Exam Gloves",Performance,,"General hospital and personal use","Type II",2026-06-17,0
82215,"CorNeat KPro",https://recalls-rappels.canada.ca/en/alert-recall/corneat-kpro,"Medical devices","CorNeat KPro",Performance,,Ophthalmology,"Type II",2026-06-17,0
82216,"ARTIS icono ceiling",https://recalls-rappels.canada.ca/en/alert-recall/artis-icono-ceiling-0,"Medical devices","ARTIS icono ceiling","Device compatibility",,Radiology,"Type II",2026-06-17,0
82217,"Single Use Distal Cover",https://recalls-rappels.canada.ca/en/alert-recall/single-use-distal-cover-0,"Medical devices","Single Use Distal Cover",Performance,,Orthopaedics,"Type II",2026-06-17,0
82218,"Plum™ Precision IV Pumps",https://recalls-rappels.canada.ca/en/alert-recall/plumtm-precision-iv-pumps,"Medical devices","Plum™ Precision IV Pumps",Performance,,"General hospital and personal use","Type II",2026-06-17,0
82223,"Ernest Cider brand Sangria Cider recalled due to yeast",https://recalls-rappels.canada.ca/en/alert-recall/ernest-cider-brand-sangria-cider-recalled-due-yeast,CFIA,"Sangria Cider","Non harmful (quality or spoilage)",,Alcoholic,"Class 3",2026-06-17,0
82227,"Polyflex powder for suspension; Cracked vials",https://recalls-rappels.canada.ca/en/alert-recall/polyflex-powder-suspension-cracked-vials,"Drugs and health products","Polyflex 25 g/vial powder for suspension","Product quality","Verify if your product is affected.Consult your healthcare provider prior to discontinuing use of the affected product(s), or for any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.","Veterinary drugs","Type II",2026-06-17,0
82231,"Transport Canada Recall - 2026268 - JAYCO",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026268-jayco,TC,"Motorhome recalled by JAYCO","Lights And Instruments",,Motorhome,,2026-06-17,0
82232,"Transport Canada Recall - 2026269 - JAYCO",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026269-jayco,TC,"Motorhome recalled by JAYCO","Lights And Instruments",,Motorhome,,2026-06-17,0
82233,"Transport Canada Recall - 2026270 - ALTEC INDUSTRIES",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026270-altec-industries,TC,"Equipment recalled by ALTEC INDUSTRIES",Electrical,,Equipment,,2026-06-17,0
82234,"Transport Canada Recall - 2026274 - HONDA",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026274-honda,TC,"Car recalled by HONDA",Other,,"Car - SUV",,2026-06-17,0
82235,"Transport Canada Recall - 2026277 - VERMEER",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026277-vermeer,TC,"Equipment recalled by VERMEER",Structure,,Equipment,,2026-06-17,0
82212,"GE Healthcare Integrated and Stand-Alone Resuscitation systems",https://recalls-rappels.canada.ca/en/alert-recall/ge-healthcare-integrated-and-stand-alone-resuscitation-systems,"Medical devices","GE Healthcare Integrated and Stand-Alone Resuscitation systems",Performance,,"General hospital and personal use","Type II",2026-06-16,0
82214,"Unauthorized soft-shelled hyperbaric chambers may pose serious health risks 2026-06-16",https://recalls-rappels.canada.ca/en/alert-recall/unauthorized-soft-shelled-hyperbaric-chambers-may-pose-serious-health-risks-2026-06-16,"Communications and Public Affairs Branch","Unauthorized soft-shelled hyperbaric chambers","Unauthorised device","Do not use soft-shelled hyperbaric chambers.Consult a healthcare practitioner if you have used a soft-shelled hyperbaric chamber and you have concerns about your health.Only use licensed medical devices. Check whether medical devices have been authorized for sale in Canada by searching Health Canada's&nbsp;Medical Devices Active Licence Listing.Report complaints involving&nbsp;medical devices, including health complications or the sale of unlicensed devices, to Health Canada.","Medical devices",,2026-06-16,0
82222,"Lancora Tablets; Broken / partial tablets in blister pack",https://recalls-rappels.canada.ca/en/alert-recall/lancora-tablets-broken-partial-tablets-blister-pack,"Drugs and health products","Lancora 5 mg tablet","Product quality","Verify if your product is affected.Consult your healthcare provider prior to discontinuing use of the affected product(s), or for any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.",Drugs,"Type III",2026-06-16,0
82230,"Transport Canada Recall - 2026297 - ALLIANCE RV",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026297-alliance-rv,TC,"RV Trailer recalled by ALLIANCE RV",Suspension,,"RV Trailer",,2026-06-16,0
82225,"Transport Canada Recall - 2026267 - PIAGGIO GROUP",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026267-piaggio-group,TC,"Minibike/ Moped /Scooter recalled by PIAGGIO GROUP","Visual System",,"Minibike/ Moped /Scooter",,2026-06-15,0
82179,"Transport Canada Recall - 2026264 - ARBOC SPECIALTY VEHICLES",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026264-arboc-specialty-vehicles,TC,"Bus recalled by ARBOC SPECIALTY VEHICLES","Seats And Restraints",,Bus,,2026-06-12,0
82198,"Lactantia brand UltraPūr 2% M.F. Lactose Free Dairy Product recalled due to over-fortification of Vitamins A and D",https://recalls-rappels.canada.ca/en/alert-recall/lactantia-brand-ultrapur-2-mf-lactose-free-dairy-product-recalled-due-over,CFIA,"UltraPūr 2% M.F. Lactose Free Dairy Product",Nutrition,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedLearn more:Sign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Dairy,"Class 2",2026-06-12,0
82209,"Transport Canada Recall - 2026263 - FOREST RIVER",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026263-forest-river,TC,"RV Trailer recalled by FOREST RIVER",Electrical,,"RV Trailer",,2026-06-12,0
75122,"Transport Canada Recall - 2024084 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024084-ford,TC,"SUV recalled by FORD","Seats And Restraints",,SUV,,2026-06-11,0
77235,"Transport Canada Recall - 2025164 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2025164-ford,TC,"SUV recalled by FORD","Seats And Restraints",,SUV,,2026-06-11,0
82184,"​​Tip Restraint Kits included in Childcraft Furniture recalled ​due to tip-over and entrapment hazards to children ",https://recalls-rappels.canada.ca/en/alert-recall/tip-restraint-kits-included-childcraft-furniture-recalled-due-tip-over-and-entrapment,"Consumer product safety","Plastic Tip Restraint Kits included in Childcraft Furniture","Entrapment hazard - Tip-over hazard","Consumers should immediately stop using the recalled product and contact School Specialty to obtain a free replacement tip restraint kit made of stainless steel. Consumers should keep children away from the unit while waiting for a replacement tip restraint kit and should dispose of the recalled tip restraint in their household trash once they have installed the replacement tip restraint.For more information, consumers can contact School Specialty by telephone at 1-866-588-6951, from 8 a.m. to 5 p.m. CT Monday through Friday, by email at&nbsp;compliance@schoolspecialty.com or on the company's website.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Household items",,2026-06-11,0
82195,"Aptima HIV Quant Dx Assay, HCV Quant Dx Assay, and HBV Quant Assay Software",https://recalls-rappels.canada.ca/en/alert-recall/aptima-hiv-quant-dx-assay-hcv-quant-dx-assay-and-hbv-quant-assay-software,"Medical devices","Aptima HIV Quant Dx Assay, HCV Quant Dx Assay, and HBV Quant Assay Software","Unauthorised device",,Immunology,"Type II",2026-06-11,0
82196,"ETMS 70 mm Cooled Coil",https://recalls-rappels.canada.ca/en/alert-recall/etms-70-mm-cooled-coil,"Medical devices","ETMS 70 mm Cooled Coil",Performance,,Anaesthesiology,"Type II",2026-06-11,0
82208,"Transport Canada Recall - 2026261 - TOYOTA",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026261-toyota,TC,"Car recalled by TOYOTA","Visual System",,"Car - SUV",,2026-06-11,0
77210,"Transport Canada Recall - 2025151 - PACCAR",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2025151-paccar,TC,"Truck - Med. & H.D. recalled by PACCAR","High Voltage",,"Truck - Med. & H.D.",,2026-06-10,0
82186,"Health Canada warns that COHEALI Wooden Pacifier Clip for baby previously available on Amazon.ca may pose a risk of choking",https://recalls-rappels.canada.ca/en/alert-recall/health-canada-warns-coheali-wooden-pacifier-clip-baby-previously-available-amazonca,"Consumer product safety","COHEALI Wooden Pacifier Clip for baby","Choking hazard","Consumers who have this affected product should immediately stop using it and safely dispose of the item in such a way that it cannot be used again.Regularly check the&nbsp;Healthy Canadians Recalls and Safety Alerts database&nbsp;for dangerous products and take action to remove items of concern.Health Canada would like to remind consumers to report any health or safety incidents related to the use of these products or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.&nbsp;Related linksBuying consumer products onlineOnline consumer product guidesStay connected with Health Canada and receive the latest advisories and product recalls using&nbsp;social media&nbsp;tools.",Other,,2026-06-10,0
82187,"CannaPiece Corp. recalls Wild West 96+ Strawberry Stampede Liquid Diamonds 510 Vape due to a labelling issue",https://recalls-rappels.canada.ca/en/alert-recall/cannapiece-corp-recalls-wild-west-96-strawberry-stampede-liquid-diamonds-510-vape-due,"Controlled substances and cannabis","Wild West 96+ Strawberry Stampede Liquid Diamonds 510 Vape Cannabis Extract","Labelling and packaging","Check to see if your products are affected.Contact the store where you bought the products if you wish to return them.Report any health or safety complaints you have about these or other cannabis products by filling out the Cannabis Reporting Form online.",Cannabis,,2026-06-10,0
82193,"Nicotine Pouch Recall; No market authorization",https://recalls-rappels.canada.ca/en/alert-recall/nicotine-pouch-recall-no-market-authorization,"Drugs and health products","Nicotine Pouch","Unauthorized product","Verify if your product is affected.Consult your healthcare provider prior to discontinuing use of the affected product(s), or for any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.",Drugs,"Type II",2026-06-10,0
82194,"Selenia Dimensions 2D/3D Mammography Systems",https://recalls-rappels.canada.ca/en/alert-recall/selenia-dimensions-2d3d-mammography-systems,"Medical devices","Selenia Dimensions 2D/3D Mammography Systems",Performance,,Radiology,"Type II",2026-06-10,0
82199,"Transport Canada Recall - 2026256 - PACCAR",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026256-paccar,TC,"Truck - Med. & H.D. recalled by PACCAR","High Voltage",,"Truck - Med. & H.D.",,2026-06-10,0
82200,"Transport Canada Recall - 2026257 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026257-ford,TC,"SUV recalled by FORD","Seats And Restraints",,SUV,,2026-06-10,0
82201,"Transport Canada Recall - 2026260 - GENERAL MOTORS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026260-general-motors,TC,"Light Truck & Van recalled by GENERAL MOTORS",Powertrain,,"Chassis Cab - Light Truck & Van",,2026-06-10,0
82202,"Transport Canada Recall - 2026262 - VOLVO TRUCKS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026262-volvo-trucks,TC,"Truck - Med. & H.D. recalled by VOLVO TRUCKS",Wheels,,"Truck - Med. & H.D.",,2026-06-10,0
82203,"Transport Canada Recall - 2026265 - MACK",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026265-mack,TC,"Truck - Med. & H.D. recalled by MACK",Wheels,,"Truck - Med. & H.D.",,2026-06-10,0
82205,"Transport Canada Recall - 2026272 - FIAT CHRYSLER AUTOMOBILES",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026272-fiat-chrysler-automobiles,TC,"Minivan recalled by FIAT CHRYSLER AUTOMOBILES","High Voltage",,Minivan,,2026-06-10,0
82206,"Transport Canada Recall - 2026275 - HONDA",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026275-honda,TC,"SUV recalled by HONDA",Structure,,"Light Truck & Van - SUV",,2026-06-10,0
81983,"Expanded recall: Plush robes with various prints recalled due to flammability hazard",https://recalls-rappels.canada.ca/en/alert-recall/expanded-recall-plush-robes-various-prints-recalled-due-flammability-hazard,"Consumer product safety","Souris Mini - Plush robes with various prints ","Flammability hazard","Consumers should immediately stop using the recalled product and contact Groupe Souris Mini inc.For more information, consumers can contact Groupe Souris Mini by telephone at 418-524-6464 ext 304, Monday to Friday, from 8:00am to 4:30 pm, by email at serviceclientele@sourismini.com or visit the company’s website.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Clothing,,2026-06-09,0
81985,"Expanded recall: Nightgowns with various prints recalled due to flammability hazard",https://recalls-rappels.canada.ca/en/alert-recall/expanded-recall-nightgowns-various-prints-recalled-due-flammability-hazard,"Consumer product safety","Souris Mini - Nightgowns with various prints","Flammability hazard","Consumers should immediately stop using the recalled products and contact Groupe Souris Mini inc.  For more information, consumers can contact Groupe Souris Mini by telephone at 418-524-6464 ext 304, Monday to Friday, from 8:00am to 4:30 pm, by email at serviceclientele@sourismini.com or visit the company’s website.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Clothing,,2026-06-09,0
82174,"Wiifo Children’s Tower Stools recalled due to fall and entrapment hazards",https://recalls-rappels.canada.ca/en/alert-recall/wiifo-children-s-tower-stools-recalled-due-fall-and-entrapment-hazards,"Consumer product safety","Wiifo Children’s Tower Stools","Fall hazard - Entrapment hazard","Consumers should immediately stop using the recalled product and contact Wiifo for a refund. Consumers will be asked to destroy the stool by disassembling it and send a photo of the destroyed stool to support@wiifo.net. Consumers should then dispose of the destroyed product.For more information, consumers can contact Wiifo by email at support@wiifo.net or visit the company website.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Toys and games",,2026-06-09,0
82180,"​​Urban Shades Roller Shades​ recalled due to strangulation hazard  ",https://recalls-rappels.canada.ca/en/alert-recall/urban-shades-roller-shades-recalled-due-strangulation-hazard,"Consumer product safety","Roller Shades","Strangulation hazard","Consumers&nbsp;should&nbsp;immediately&nbsp;stop using the recalled product, keep it out of reach of children and contact Urban Shades for repair instructions.For more information, consumers can contact&nbsp;Urban Shades&nbsp;by telephone&nbsp;at&nbsp;289-201-2071,&nbsp;10 am to 6 pm EST,&nbsp;Monday to Friday or 12 pm to 4 pm EST on Saturday or&nbsp;by email at&nbsp;info@urbanshades.com.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed,&nbsp;sold&nbsp;or even given away in Canada.&nbsp;Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website.&nbsp;You can visit this site for more information on other international consumer product recalls.","Household items",,2026-06-09,0
82183,"Allo simonne brand Milk Chocolate Spread recalled due to pieces of glass",https://recalls-rappels.canada.ca/en/alert-recall/allo-simonne-brand-milk-chocolate-spread-recalled-due-pieces-glass,CFIA,"Milk Chocolate Spread","Extraneous Material",,"Candy, confectionary, snacks and sweeteners","Class 2",2026-06-09,0
82185,"Guedel Airway",https://recalls-rappels.canada.ca/en/alert-recall/guedel-airway-0,"Medical devices","Guedel Airway",Performance,,Anaesthesiology,"Type I",2026-06-09,0
81968,"Transport Canada Recall - 2026185 - HYUNDAI",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026185-hyundai,TC,"Car recalled by HYUNDAI","Fuel System",,"Car - SUV",,2026-06-08,0
82181,"Baxter Corporation products recall; Blue cap breakage",https://recalls-rappels.canada.ca/en/alert-recall/baxter-corporation-products-recall-blue-cap-breakage,"Drugs and health products","Sodium chloride injection; Sodium chloride Irrigation; (20 mmol/L) Potassium chloride in 5% Dextrose and 0.9% Sodium chloride injection; Lactated Ringer's injection",Packaging,"Verify if your product is affected.Consult your healthcare provider prior to discontinuing use of the affected product(s), or for any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.",Drugs,"Type III",2026-06-08,0
82182,"PMS-Fluconazole 50 mg tablets; Incorrect quantity of tablets",https://recalls-rappels.canada.ca/en/alert-recall/pms-fluconazole-50-mg-tablets-incorrect-quantity-tablets,"Drugs and health products","PMS-Fluconazole 50 mg tablets",Packaging,"Verify if your product is affected.Consult your healthcare provider prior to discontinuing use of the affected product(s), or for any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.",Drugs,"Type III",2026-06-08,0
82188,"Transport Canada Recall - 2026253 - TRUCK MASTER MANUFACTURING & EQUIPMENT LTD.",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026253-truck-master-manufacturing-equipment-ltd,TC,"Truck - Med. & H.D. recalled by TRUCK MASTER MANUFACTURING & EQUIPMENT LTD.",Label,,"Chassis Cab - Truck - Med. & H.D.",,2026-06-08,0
82189,"Transport Canada Recall - 2026255 - FOREST RIVER",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026255-forest-river,TC,"RV Trailer recalled by FOREST RIVER",Suspension,,"RV Trailer",,2026-06-08,0
82190,"Transport Canada Recall - 2026258 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026258-ford,TC,"SUV recalled by FORD",Engine,,"SUV - Light Truck & Van",,2026-06-08,0
82191,"Transport Canada Recall - 2026259 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026259-ford,TC,"Light Truck & Van recalled by FORD",Suspension,,"SUV - Light Truck & Van",,2026-06-08,0
82192,"Transport Canada Recall - 2026276 - GRAND DESIGN RV",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026276-grand-design-rv,TC,"RV Trailer recalled by GRAND DESIGN RV",Suspension,,"RV Trailer",,2026-06-08,0
81423,"Tako Wasabi products recalled due to undeclared fish",https://recalls-rappels.canada.ca/en/alert-recall/tako-wasabi-products-recalled-due-undeclared-fish,CFIA,"Tako Wasabi - Wasabi Flavoured Octopus, Seasoned Octopus with Wasabi Sauce (Tako Wasabi)",Fish,"Check to see if you have recalled productsDo not consume recalled products to which you are allergic or sensitive as they may cause a serious or life-threatening reactionDo not serve, use, sell or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedLearn more:Learn more about common food allergiesSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Processed,"Class 1",2026-06-05,0
82150,"​​Steambow Archery AR-Series Laser Sight (Green)​ recalled due to eye injury hazard  ",https://recalls-rappels.canada.ca/en/alert-recall/steambow-archery-ar-series-laser-sight-green-recalled-due-eye-injury-hazard,"Consumer product safety","Steambow Archery AR-Series Laser Sight","Injury hazard","Consumers should immediately stop using the recalled product and return it to Leapfrog Outdoor Sports and Apparel for a refund.For more information, consumers can contact Leapfrog Outdoor Sports and Apparel by telephone at 587-486-0563, Tuesday to Friday from 10:00-17:00 MST, by email at info@leapfrogoutdoor.ca or visit the company website.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed,&nbsp;sold&nbsp;or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website.&nbsp;You can visit this site for more information on other international consumer product recalls.",Electronics,,2026-06-05,0
82151,"​​HJ Window Roller Blind​ recalled due to strangulation hazard",https://recalls-rappels.canada.ca/en/alert-recall/hj-window-roller-blind-recalled-due-strangulation-hazard,"Consumer product safety","Window Roller Blind","Strangulation hazard","Consumers should immediately stop using the recalled product, keep it out of reach of children and dispose of it or return to Panda Mart for a refund. For more information, consumers can contact Panda Mart by telephone at (416) 757-5557, operating Monday to Sunday from 9 am to 9 pm EST, by email at info@pandamartcanada.ca or visit the company website.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Household items",,2026-06-05,0
82162,"​Safrax ODOR-CLO2 Chlorine Dioxide Odor Removal- Air Freshener & Deodorizer​ recalled due to improper labelling and lack of child-resistant packaging",https://recalls-rappels.canada.ca/en/alert-recall/safrax-odor-clo2-chlorine-dioxide-odor-removal-air-freshener-deodorizer-recalled-due,"Consumer product safety","ODOR-CLO2 Chlorine Dioxide Odor Removal- Air Freshener & Deodorizer","Labelling and packaging","Consumers should immediately stop using the recall product and dispose of it according to municipal hazardous waste guidelines.For more information, consumers can contact Utopia Distribute by telephone at 647-647-4597, 9 a.m. to 5 p.m. ET, Monday to Friday or by email at contact@utopiadistribute.com.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Chemicals,,2026-06-05,0
82163,"Renpure Tea Tree & Rosemary Scalp Rebalancing Shampoo & Conditioner recalled due to microbial contamination ",https://recalls-rappels.canada.ca/en/alert-recall/renpure-tea-tree-rosemary-scalp-rebalancing-shampoo-conditioner-recalled-due-microbial,"Consumer product safety","Renpure Tea Tree & Rosemary Scalp Rebalancing Shampoo & Conditioner","Microbial hazard","Consumers should immediately stop using the recalled product and return it to Costco Wholesale Canada for a refund.For more information, consumers can contact MAV Beauty Brands by telephone at 1-888-224-8485, 9 am to 5 pm EST, Monday to Friday, or by email at customerservice@mavbeautybrands.com. Please note that, in addition to the requirements of the Cosmetic Regulations, the Food and Drugs Act (FDA) prohibits the sale of cosmetics that are either made with hazardous substances, or under unsanitary conditions, to users in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Beauty and personal care",,2026-06-05,0
82165,"Cosyland Kids Kitchen Step Stools recalled due to fall and entrapment hazards",https://recalls-rappels.canada.ca/en/alert-recall/cosyland-kids-kitchen-step-stools-recalled-due-fall-and-entrapment-hazards,"Consumer product safety","Cosyland Kids Kitchen Step Stools","Consumer products","Consumers should immediately stop using the recalled products and store them away from children until repaired. Contact Wan Yi for repair parts, which include protective nets, stabilizing feet, and installation instructions. The firm will mail the repair parts directly to consumers free of charge.For more information, consumers can contact Wan Yi&nbsp; by telephone at 866-677-3889, between 9 a.m. and 5 p.m. PT, Monday to Friday, by email at&nbsp;customerservice-ca@cosyland.com&nbsp;visit the company website at https://cosyland.com/en-ca/pages/recall&nbsp;or&nbsp;www.cosyland.com&nbsp;and click on “Product Recalls” at the top of the page for more information.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Furniture and furnishings",,2026-06-05,0
82177,"Transport Canada Recall - 2026247 - KZ  RECREATIONAL VEHICLES",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026247-kz-recreational-vehicles,TC,"RV Trailer recalled by KZ  RECREATIONAL VEHICLES",Suspension,,"RV Trailer",,2026-06-05,0
82178,"Transport Canada Recall - 2026251 - HONDA",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026251-honda,TC,"SUV recalled by HONDA","Seats And Restraints",,"Minivan - Light Truck & Van - SUV - Car",,2026-06-05,0
81852,"Transport Canada Recall - 2026137 - NOVA BUS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026137-nova-bus,TC,"Bus recalled by NOVA BUS","Seats And Restraints",,Bus,,2026-06-04,0
82139,"Wyze Solar Cam Pan recalled due to burn and fire hazards",https://recalls-rappels.canada.ca/en/alert-recall/wyze-solar-cam-pan-recalled-due-burn-and-fire-hazards,"Consumer product safety","Wyze Solar Cam Pan","Burn hazard - Fire hazard","Consumers should immediately stop using the recalled Wyze Solar Cam Pan and visit the Wyze Labs Inc website&nbsp;for the company’s refund process. For more information, consumers can contact Wyze labs, Inc by telephone toll-free at 1-888-832-7226 from 8:00 a.m. to 6:00 p.m. PST Monday to Friday, by email at recall@wyze.com or visit the company website.Joint recall with Health Canada, the United States Consumer Product Safety Commission (US CPSC) and Wyze Labs, Inc.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Audio visual and photography",,2026-06-04,0
82149,"​​Vornado SRTH Small Room Tower Heater​ recalled due to fire hazard  ",https://recalls-rappels.canada.ca/en/alert-recall/vornado-srth-small-room-tower-heater-recalled-due-fire-hazard,"Consumer product safety","Vornado SRTH Small Room Tower Heater","Fire hazard","Consumers&nbsp;should&nbsp;immediately&nbsp;stop using the recalled product and contact&nbsp;Vornado Air&nbsp;for&nbsp;a refund.For more information, consumers can contact&nbsp;Vornado&nbsp;Air&nbsp;by telephone&nbsp;at&nbsp;1-888-240-2768,&nbsp;from 8 a.m.&nbsp;to 5 p.m. CT, Monday to Friday, by email at&nbsp;srthrecall@vornado.com&nbsp;or visit&nbsp;the company's website.&nbsp;Joint recall with Health Canada, the United States Consumer Product Safety Commission (US CPSC)&nbsp;and Vornado Air.&nbsp;Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed,&nbsp;sold&nbsp;or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website.&nbsp;You can visit this site for more information on other international consumer product recalls.",Electronics,,2026-06-04,0
